.\nlp.py:15:1: E302 expected 2 blank lines, found 1
.\unit_test\test_nlp.py:6:1: E302 expected 2 blank lines, found 1
.\unit_test\test_nlp.py:13:25: E131 continuation line unaligned for hanging indent
.\unit_test\test_nlp.py:13:80: E501 line too long (81 > 79 characters)
.\unit_test\test_nlp.py:15:80: E501 line too long (81 > 79 characters)
.\unit_test\test_nlp.py:16:80: E501 line too long (88 > 79 characters)
.\unit_test\test_nlp.py:17:80: E501 line too long (100 > 79 characters)
.\unit_test\test_nlp.py:18:80: E501 line too long (96 > 79 characters)
.\unit_test\test_nlp.py:19:80: E501 line too long (93 > 79 characters)
.\unit_test\test_nlp.py:20:80: E501 line too long (86 > 79 characters)
.\unit_test\test_nlp.py:24:80: E501 line too long (84 > 79 characters)
.\unit_test\test_nlp.py:25:25: E131 continuation line unaligned for hanging indent
.\unit_test\test_nlp.py:25:80: E501 line too long (84 > 79 characters)
.\unit_test\test_nlp.py:26:80: E501 line too long (81 > 79 characters)
.\unit_test\test_nlp.py:28:80: E501 line too long (93 > 79 characters)
.\unit_test\test_nlp.py:29:80: E501 line too long (95 > 79 characters)
.\unit_test\test_nlp.py:30:80: E501 line too long (92 > 79 characters)
.\unit_test\test_nlp.py:31:80: E501 line too long (90 > 79 characters)
.\unit_test\test_nlp.py:32:80: E501 line too long (88 > 79 characters)
.\unit_test\test_nlp.py:33:80: E501 line too long (91 > 79 characters)
.\unit_test\test_nlp.py:34:80: E501 line too long (90 > 79 characters)
.\unit_test\test_nlp.py:35:80: E501 line too long (91 > 79 characters)
.\unit_test\test_nlp.py:36:80: E501 line too long (88 > 79 characters)
.\unit_test\test_nlp.py:37:80: E501 line too long (89 > 79 characters)
.\unit_test\test_nlp.py:38:80: E501 line too long (92 > 79 characters)
.\unit_test\test_nlp.py:39:80: E501 line too long (90 > 79 characters)
.\unit_test\test_nlp.py:40:80: E501 line too long (87 > 79 characters)
.\unit_test\test_nlp.py:41:80: E501 line too long (90 > 79 characters)
.\unit_test\test_nlp.py:42:80: E501 line too long (89 > 79 characters)
.\unit_test\test_nlp.py:43:80: E501 line too long (88 > 79 characters)
.\unit_test\test_nlp.py:44:80: E501 line too long (87 > 79 characters)
.\unit_test\test_nlp.py:45:80: E501 line too long (86 > 79 characters)
.\unit_test\test_nlp.py:46:80: E501 line too long (86 > 79 characters)
.\unit_test\test_nlp.py:47:80: E501 line too long (84 > 79 characters)
.\unit_test\test_nlp.py:48:80: E501 line too long (85 > 79 characters)
.\unit_test\test_nlp.py:49:80: E501 line too long (88 > 79 characters)
.\unit_test\test_nlp.py:50:80: E501 line too long (87 > 79 characters)
.\unit_test\test_nlp.py:51:80: E501 line too long (87 > 79 characters)
.\unit_test\test_nlp.py:52:80: E501 line too long (87 > 79 characters)
.\unit_test\test_nlp.py:53:80: E501 line too long (87 > 79 characters)
.\unit_test\test_nlp.py:54:80: E501 line too long (88 > 79 characters)
.\unit_test\test_nlp.py:55:80: E501 line too long (91 > 79 characters)
.\unit_test\test_nlp.py:56:80: E501 line too long (87 > 79 characters)
.\unit_test\test_nlp.py:57:80: E501 line too long (89 > 79 characters)
.\unit_test\test_nlp.py:58:80: E501 line too long (85 > 79 characters)
.\unit_test\test_nlp.py:59:80: E501 line too long (88 > 79 characters)
.\unit_test\test_nlp.py:60:80: E501 line too long (85 > 79 characters)
.\unit_test\test_nlp.py:61:80: E501 line too long (84 > 79 characters)
.\unit_test\test_nlp.py:62:80: E501 line too long (81 > 79 characters)
.\unit_test\test_nlp.py:67:80: E501 line too long (95 > 79 characters)
.\unit_test\test_nlp.py:68:80: E501 line too long (88 > 79 characters)
.\unit_test\test_nlp.py:69:80: E501 line too long (84 > 79 characters)
.\unit_test\test_nlp.py:70:80: E501 line too long (85 > 79 characters)
.\unit_test\test_nlp.py:71:80: E501 line too long (85 > 79 characters)
.\unit_test\test_nlp.py:72:80: E501 line too long (81 > 79 characters)
.\unit_test\test_nlp.py:73:80: E501 line too long (84 > 79 characters)
.\unit_test\test_nlp.py:74:80: E501 line too long (84 > 79 characters)
.\unit_test\test_nlp.py:75:80: E501 line too long (88 > 79 characters)
.\unit_test\test_nlp.py:76:80: E501 line too long (89 > 79 characters)
.\unit_test\test_nlp.py:77:80: E501 line too long (90 > 79 characters)
.\unit_test\test_nlp.py:78:80: E501 line too long (85 > 79 characters)
.\unit_test\test_nlp.py:79:80: E501 line too long (88 > 79 characters)
.\unit_test\test_nlp.py:80:80: E501 line too long (84 > 79 characters)
.\unit_test\test_nlp.py:81:80: E501 line too long (85 > 79 characters)
.\unit_test\test_nlp.py:82:80: E501 line too long (89 > 79 characters)
.\unit_test\test_nlp.py:83:80: E501 line too long (90 > 79 characters)
.\unit_test\test_nlp.py:84:80: E501 line too long (87 > 79 characters)
.\unit_test\test_nlp.py:85:80: E501 line too long (84 > 79 characters)
.\unit_test\test_nlp.py:86:80: E501 line too long (84 > 79 characters)
.\unit_test\test_nlp.py:87:80: E501 line too long (87 > 79 characters)
